fiscal_year,aag,total,program,appn_account,file,page,aargmer,acv_fov,ah64e_remanufacture,aim9x_block_ii,an_spy6v1,an_spy6v2,an_spy6v3,an_spy6v4,ampv,b52j,b52_rmp,booker,cec,ch47f_block_ii__materiel_availability,ch53k,circm,cvn_78,emals,ddg51,e2d_ahe,epf,esb,f15_epawss,f15_ex,f35a,f35c,f35b,f35_engine,ffg62,gator,gmlrs_aw,gps_iiif,hh60w,hms_radios,iamd,icbm_fuze_mod,idecm_block_4,f_a18e_f_irst,improved_turbine_engine,jagm,jassm_er,jltv,kc130j,kc46,lcs_mm,gbsd,lha,lpd_17,new_element,,mids,mk21a_rv,mq25,mq4c_triton_increment_1,mq4c_triton_increment_2,ngj_low_band,ngj_midband,nssl,lrasm,pac3_mse,pim,prsm,sdb_ii,sm6,ssbn_826,ssc,ssn_774_q1_fy21,apt,tagos_25,tao_205_class,nav_comm_upgrade_kits,mst_kits,vc25b,wsf
Total,,"49,099",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,397,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,592,Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,"1,812",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,"2,251",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,"3,590",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,"2,346",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,"2,189",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,"1,184",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,"1,939",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,"1,048",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,"1,353",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,"1,220",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,"1,241",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,"1,274",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,"1,107",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,"1,165",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,"1,172",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,,"1,175",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,,"1,046",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,,"1,012",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,,"1,061",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,,"1,061",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,,"1,060",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,,"1,062",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,,"1,061",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,,"1,059",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,,"1,058",Joint Light Tactical Vehicle,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,,"1,061",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,,"1,060",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,,"1,025",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,,"1,048",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,,"1,067",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,,"1,068",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,,"1,066",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,,"1,065",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,,"1,064",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,,"1,062",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,,"1,061",Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,,917,Unknown Program,"2035A - Other Procurement, Army",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"12,500",Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,6,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,128,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,212,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,527,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,"1,642",Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,"1,264",Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,752,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,837,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,"1,051",Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,364,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,674,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,226,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,"1,020",Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,998,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,"1,020",Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,"1,040",Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,739,Joint Light Tactical Vehicle,"1109N - Procurement, Marine Corps",sar_pdfs\JLTV_MSAR_Dec_2023.pdf,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,KC-130J Transport Aircraft,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,KC-130J Transport Aircraft,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,113,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,3,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,2,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,2,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,1,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,3,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,2,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,4,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,4,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,8,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,3,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,13,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,2,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,KC-130J Transport Aircraft,"1506N - Aircraft Procurement, Navy",sar_pdfs\KC-130J MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
