fiscal_year,other_unallocated,total_ty_dol_m,weighted_rate,program,appn_account,file,page,total_cy,base_year,end_item_recurring_flyaway,10_unit_level_manpower,30_maintenance,40_sustaining_support,50_continuing_system_improvements,nonend_item_recurring_flyaway,non_recurring_flyaway,initial_spares,20_unit_operations,depot_activation,other,10_unitlevel_manpower,nonend_end_item_item_non_recurring_recurring_recurring_depot_flyaway_flyaway_flyaway_initial_spares_activation,nonrecurring_flyaway,other_indirect_costs
2011,,,0.877400,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2012,,,0.892687,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2013,,,0.907774,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2014,,,0.920430,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2015,,,0.929675,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2016,,,0.943892,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2017,,,0.963644,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2018,,,0.983901,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2019,,,1.002193,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2020,,,1.027969,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,,2020.0,,,,,,,,,,,,,,,
2021,275.819,275.8,1.073796,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,256.9,2020.0,,,,,,,,,,,,,,,
2022,199.947,199.9,1.140558,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,175.3,2020.0,,,,,,,,,,,,,,,
2023,278.758,278.8,1.173191,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,237.6,2020.0,,,,,,,,,,,,,,,
2024,292.185,292.2,1.201785,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,243.1,2020.0,,,,,,,,,,,,,,,
2025,244.752,244.8,1.227619,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,199.4,2020.0,,,,,,,,,,,,,,,
2026,189.659,189.7,1.253399,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,151.3,2020.0,,,,,,,,,,,,,,,
2027,160.487,160.5,1.279721,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,125.4,2020.0,,,,,,,,,,,,,,,
2028,130.374,130.4,1.306595,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,99.8,2020.0,,,,,,,,,,,,,,,
2029,106.704,106.7,1.334033,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,80.0,2020.0,,,,,,,,,,,,,,,
2030,96.916,96.9,1.362048,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,71.2,2020.0,,,,,,,,,,,,,,,
2031,96.497,96.5,1.390651,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,69.4,2020.0,,,,,,,,,,,,,,,
2032,98.184,98.2,1.419855,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,69.2,2020.0,,,,,,,,,,,,,,,
2033,99.841,99.8,1.449672,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,68.9,2020.0,,,,,,,,,,,,,,,
2034,87.352,87.4,1.480115,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,59.0,2020.0,,,,,,,,,,,,,,,
2035,10.809,10.8,1.511197,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,7.2,2020.0,,,,,,,,,,,,,,,
2036,11.069,11.1,1.542932,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,7.2,2020.0,,,,,,,,,,,,,,,
2037,11.330,11.3,1.575334,Global Positioning System III Follow-On Production,"3620F - RDTE, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,37,7.2,2020.0,,,,,,,,,,,,,,,
Total,,307.5,,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,2 83.0,2020.0,307.5,,,,,,,,,,,,,,
2008,,,0.845077,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2009,,,0.857126,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2010,,,0.869265,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2011,,,0.887177,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2012,,,0.901995,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2013,,,0.922770,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2014,,,0.936386,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2015,,,0.947873,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2016,,,0.965555,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2017,,,0.988279,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2018,,,1.018762,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2019,,,1.047908,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,,2020.0,,,,,,,,,,,,,,,
2020,,307.5,1.086626,Global Positioning System III Follow-On Production,"3021F - Space Procurement, Air Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,38,283.0,2020.0,307.476,,,,,,,,,,,,,,
Total,,"7,064.2",,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,"5 , 4 60.2",2020.0,"7,064.2",,,,,,,,,,,,,,
2008,,,0.845077,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2009,,,0.857126,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2010,,,0.869265,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2011,,,0.887177,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2012,,,0.901995,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2013,,,0.922770,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2014,,,0.936386,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2015,,,0.947873,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2016,,,0.965555,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2017,,,0.988279,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2018,,,1.018762,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2019,,,1.047908,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2020,,,1.086626,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,,2020.0,,,,,,,,,,,,,,,
2021,,573.4,1.131232,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,506.9,2020.0,573.404,,,,,,,,,,,,,,
2022,,835.2,1.174834,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,710.9,2020.0,835.176,,,,,,,,,,,,,,
2023,,607.6,1.209781,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,502.2,2020.0,607.596,,,,,,,,,,,,,,
2024,,59.1,1.237823,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,47.8,2020.0,59.148,,,,,,,,,,,,,,
2025,,647.2,1.263934,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,512.0,2020.0,647.165,,,,,,,,,,,,,,
2026,,710.0,1.290476,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,550.2,2020.0,710.019,,,,,,,,,,,,,,
2027,,744.0,1.317576,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,564.7,2020.0,744.030,,,,,,,,,,,,,,
2028,,759.7,1.345245,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,564.8,2020.0,759.736,,,,,,,,,,,,,,
2029,,775.0,1.373496,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,564.3,2020.0,775.039,,,,,,,,,,,,,,
2030,,733.8,1.402339,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,523.3,2020.0,733.796,,,,,,,,,,,,,,
2031,,138.4,1.431788,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,96.7,2020.0,138.435,,,,,,,,,,,,,,
2032,,108.7,1.461856,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,74.4,2020.0,108.726,,,,,,,,,,,,,,
2033,,107.1,1.492555,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,71.8,2020.0,107.091,,,,,,,,,,,,,,
2034,,106.1,1.523898,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,69.6,2020.0,106.081,,,,,,,,,,,,,,
2035,,84.5,1.555900,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,54.3,2020.0,84.469,,,,,,,,,,,,,,
2036,,56.9,1.588574,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,35.8,2020.0,56.854,,,,,,,,,,,,,,
2037,,9.5,1.621934,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,5.8,2020.0,9.451,,,,,,,,,,,,,,
2038,,8.0,1.655995,Global Positioning System III Follow-On Production,"3022F - Procurement, Space Force",sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,39,4.9,2020.0,8.033,,,,,,,,,,,,,,
Total,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,921.2,2020.0,,138.0,452.6,140.5,190.1,,,,,,,,,,
2027,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,15.8,2020.0,,3.306,8.666,3.038,0.791,,,,,,,,,,
2028,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,16.0,2020.0,,3.327,8.842,3.057,0.796,,,,,,,,,,
2029,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,17.3,2020.0,,3.349,9.019,4.178,0.801,,,,,,,,,,
2030,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,17.6,2020.0,,3.371,9.198,4.205,0.806,,,,,,,,,,
2031,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,17.8,2020.0,,3.392,9.379,4.233,0.812,,,,,,,,,,
2032,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,18.1,2020.0,,3.414,9.562,4.260,0.817,,,,,,,,,,
2033,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,18.3,2020.0,,3.436,9.747,4.287,0.822,,,,,,,,,,
2034,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,18.5,2020.0,,3.459,9.935,4.315,0.827,,,,,,,,,,
2035,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,19.1,2020.0,,3.481,10.124,4.343,1.184,,,,,,,,,,
2036,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,80.8,2020.0,,9.574,46.308,8.211,16.697,,,,,,,,,,
2037,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,83.8,2020.0,,9.636,46.588,8.263,19.299,,,,,,,,,,
2038,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,84.3,2020.0,,9.699,46.869,8.316,19.387,,,,,,,,,,
2039,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,62.3,2020.0,,9.761,29.637,7.818,15.113,,,,,,,,,,
2040,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,62.7,2020.0,,9.824,29.829,7.869,15.179,,,,,,,,,,
2041,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,46.2,2020.0,,7.140,20.106,7.036,11.902,,,,,,,,,,
2042,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,46.5,2020.0,,7.186,20.236,7.081,11.947,,,,,,,,,,
2043,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,46.7,2020.0,,7.232,20.367,7.127,11.993,,,,,,,,,,
2044,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,47.0,2020.0,,7.279,20.498,7.173,12.039,,,,,,,,,,
2045,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,47.3,2020.0,,7.326,20.631,7.220,12.086,,,,,,,,,,
2046,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,25.5,2020.0,,3.737,11.002,4.663,6.077,,,,,,,,,,
2047,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,25.6,2020.0,,3.761,11.073,4.693,6.100,,,,,,,,,,
2048,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,25.8,2020.0,,3.785,11.145,4.723,6.124,,,,,,,,,,
2049,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,25.9,2020.0,,3.810,11.217,4.754,6.148,,,,,,,,,,
2050,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,26.1,2020.0,,3.835,11.290,4.784,6.172,,,,,,,,,,
2051,,,,System: GPS IIIF,Operating and Support Cost Elements,sar_pdfs\GPS_IIIF_MSAR_Dec_2023.pdf,47,26.2,2020.0,,3.859,11.363,4.815,6.196,,,,,,,,,,
Total,"2,019.9","2,019.9",,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,"2 , 3 74.8",2023.0,,,,,,,,,,,,,,,
2010,,,0.746960,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,,2023.0,,,,,,,,,,,,,,,
2011,,,0.761079,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,,2023.0,,,,,,,,,,,,,,,
2012,6.189,6.2,0.774339,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,8.0,2023.0,,,,,,,,,,,,,,,
2013,32.787,32.8,0.787426,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,41.6,2023.0,,,,,,,,,,,,,,,
2014,333.558,333.6,0.798404,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,417.8,2023.0,,,,,,,,,,,,,,,
2015,100.000,100.0,0.806424,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,124.0,2023.0,,,,,,,,,,,,,,,
2016,150.341,150.3,0.818756,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,183.6,2023.0,,,,,,,,,,,,,,,
2017,263.327,263.3,0.835889,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,315.0,2023.0,,,,,,,,,,,,,,,
2018,342.018,342.0,0.853461,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,400.7,2023.0,,,,,,,,,,,,,,,
2019,430.395,430.4,0.869327,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,495.1,2023.0,,,,,,,,,,,,,,,
2020,221.457,221.5,0.891686,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,248.4,2023.0,,,,,,,,,,,,,,,
2021,32.183,32.2,0.933579,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,34.5,2023.0,,,,,,,,,,,,,,,
2022,38.963,39.0,0.983662,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,39.6,2023.0,,,,,,,,,,,,,,,
2023,27.722,27.7,1.018624,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,27.2,2023.0,,,,,,,,,,,,,,,
2024,40.976,41.0,1.044569,HH-60W Jolly Green II,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,36,39.2,2023.0,,,,,,,,,,,,,,,
Total,,"6,518.2",,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,"6 , 1 78.1",2023.0,"6,518.2",,,,,,,,,,,,,,
2010,,,0.763872,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2011,,,0.776124,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2012,,,0.787917,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2013,,,0.803938,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2014,,,0.815647,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2015,,,0.826999,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2016,,,0.843231,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2017,,,0.860879,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2018,,,0.885975,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,,2023.0,,,,,,,,,,,,,,,
2019,,608.5,0.916713,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,663.8,2023.0,608.498,,,,,,,,,,,,,,
2020,,767.3,0.955476,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,803.1,2023.0,767.335,,,,,,,,,,,,,,
2021,,877.7,0.996363,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,880.9,2023.0,877.688,,,,,,,,,,,,,,
2022,,750.9,1.029229,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,729.6,2023.0,750.881,,,,,,,,,,,,,,
2023,,"1,319.0",1.054621,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,"1,250.7",2023.0,"1,319.006",,,,,,,,,,,,,,
2024,,597.4,1.075876,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,555.3,2023.0,597.408,,,,,,,,,,,,,,
2025,,193.5,1.098582,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,176.1,2023.0,193.455,,,,,,,,,,,,,,
2026,,125.5,1.121652,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,111.9,2023.0,125.462,,,,,,,,,,,,,,
2027,,76.4,1.145206,HH-60W Jolly Green II,"3010F - Aircraft Procurement, Air Force",sar_pdfs\HH-60W_MSAR_Dec_2023.pdf,37,66.7,2023.0,76.404,,,,,,,,,,,,,,
